constituency_no,constituency_name,district,election_type,reserved_status,winner_name,winner_party,winner_party_full,winner_votes,winner_vote_share_pct,runner_up_name,runner_up_party,runner_up_party_full,runner_up_votes,runner_up_vote_share_pct,margin_votes,margin_pct,total_valid_votes,nota_votes,turnout_pct,source_name,source_url,source_type,last_verified,notes
225,Narayangarh,Purba Medinipur,assembly_2021,GEN,ATTA SURJA KANTA,AITC,All India Trinamool Congress,100894,46.33,RAMA PRASAD GIRI,BJP,Bharatiya Janata Party,98478,45.23,2416,1.11,217750,1756,89.30,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
226,Sabang,Bankura,assembly_2021,GEN,MANAS RANJAN BHUNIA,AITC,All India Trinamool Congress,112098,47.46,AMULYA MAITY,BJP,Bharatiya Janata Party,102234,43.28,9864,4.18,236201,1534,89.21,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
227,Pingla,Bankura,assembly_2021,GEN,AJIT MAITY,AITC,All India Trinamool Congress,112435,49.17,ANTARA BHATTACHARYYA,BJP,Bharatiya Janata Party,105779,46.26,6656,2.91,228669,2073,89.66,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
228,Kharagpur,Bankura,assembly_2021,GEN,DINEN ROY,AITC,All India Trinamool Congress,109727,54.85,TAPAN BHUYA,BJP,Bharatiya Janata Party,73497,36.74,36230,18.11,200044,2314,88.09,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
229,Debra,Bankura,assembly_2021,GEN,HUMAYUN KABIR,AITC,All India Trinamool Congress,95850,46.79,BHARATI GHOSH,BJP,Bharatiya Janata Party,84624,41.31,11226,5.48,204866,1353,87.48,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
230,Daspur,Bankura,assembly_2021,GEN,MAMATA BHUNIA,AITC,All India Trinamool Congress,114753,51.58,PRASANTA BERA,BJP,Bharatiya Janata Party,87911,39.52,26842,12.07,222464,1368,74.63,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
231,Ghatal,Bankura,assembly_2021,SC,SITAL KAPAT,BJP,Bharatiya Janata Party,105812,46.95,SHANKAR DOLAI,AITC,All India Trinamool Congress,104846,46.52,966,0.43,225375,1305,80.52,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
232,Chandrakona,Bankura,assembly_2021,SC,ARUP DHARA,AITC,All India Trinamool Congress,121846,48.87,SIBARAM DAS,BJP,Bharatiya Janata Party,110565,44.35,11281,4.52,249315,2906,89.08,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
233,Garbeta,Bankura,assembly_2021,GEN,Uttara Singha (Hazra),AITC,All India Trinamool Congress,94928,45.71,Madan Ruidas,BJP,Bharatiya Janata Party,84356,40.62,10572,5.09,207681,2719,89.50,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
234,Salboni,Bankura,assembly_2021,GEN,Srikanta Mahata,AITC,All India Trinamool Congress,126020,50.57,Rajib Kundu,BJP,Bharatiya Janata Party,93376,37.47,32644,13.10,249195,1965,89.98,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
235,Keshpur,Bankura,assembly_2021,SC,Seuli Saha,AITC,All India Trinamool Congress,116992,50.81,Pritish Ranjan Kuar,BJP,Bharatiya Janata Party,96272,41.82,20720,9.00,230232,3298,88.03,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
236,Medinipur,Bankura,assembly_2021,GEN,June Maliah,AITC,All India Trinamool Congress,121175,50.72,Samit Kumar Dash,BJP,Bharatiya Janata Party,96778,40.51,24397,10.21,238898,3928,85.30,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
237,Binpur,Bankura,assembly_2021,ST,DEBNATH HANSDA,AITC,All India Trinamool Congress,100277,53.11,PALAN SAREN,BJP,Bharatiya Janata Party,60783,32.19,39494,20.92,188798,3305,84.27,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
238,Bandwan,Purulia,assembly_2021,ST,RAJIB LOCHAN SAREN,AITC,All India Trinamool Congress,113337,47.02,PARCY MURMU,BJP,Bharatiya Janata Party,94506,39.21,18831,7.81,241055,2954,84.63,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
239,Balarampur,Purulia,assembly_2021,GEN,BANESWAR MAHATO,BJP,Bharatiya Janata Party,89521,45.22,SHANTIRAM MAHATO,AITC,All India Trinamool Congress,89098,45.01,423,0.21,197965,2441,83.14,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
240,Baghmundi,Purulia,assembly_2021,GEN,Sushanta Mahato,AITC,All India Trinamool Congress,75905,36.79,Ashutosh Mahato,OTHER,Other Parties,61936,30.02,13969,6.77,206303,2386,82.65,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
241,Joypur,Purulia,assembly_2021,GEN,Nara Hari Mahato,BJP,Bharatiya Janata Party,74380,36.68,Phanibhushan Kumar,INC,Indian National Congress,62180,30.67,12200,6.02,202767,2956,81.23,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
242,Purulia,Purulia,assembly_2021,GEN,Sudip Kumar Mukherjee,BJP,Bharatiya Janata Party,89733,43.38,Sujoy Banerjee,AITC,All India Trinamool Congress,82715,39.98,7018,3.39,206868,2588,79.89,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
243,Manbazar,Purulia,assembly_2021,ST,SANDHYARANI TUDU,AITC,All India Trinamool Congress,103298,48.33,GOURI SINGH SARDAR,BJP,Bharatiya Janata Party,87782,41.07,15516,7.26,213729,2291,84.24,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
244,Kashipur,Purulia,assembly_2021,ST,KAMALAKANTA HANSDA,BJP,Bharatiya Janata Party,92938,47.69,SWAPAN KUMAR BELTHARIA,AITC,All India Trinamool Congress,85551,43.90,7387,3.79,194892,2401,81.59,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
245,Para,Purulia,assembly_2021,SC,NADIAR CHAND BOURI,BJP,Bharatiya Janata Party,87347,45.02,UMAPADA BAURI,AITC,All India Trinamool Congress,83340,42.95,4007,2.07,194021,3657,79.55,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
246,Raghunathpur,Purulia,assembly_2021,SC,Vivekananda Bauri,BJP,Bharatiya Janata Party,95770,44.61,Bouri Hazari,AITC,All India Trinamool Congress,90332,42.08,5438,2.53,214690,3557,82.75,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
247,Saltora,South 24 Parganas,assembly_2021,SC,BAURI CHANDANA,BJP,Bharatiya Janata Party,91648,45.28,SONTOSH KUMAR MONDAL,AITC,All India Trinamool Congress,87503,43.23,4145,2.05,202413,3363,87.05,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
248,Chhatna,South 24 Parganas,assembly_2021,GEN,SATYANARAYAN MUKHOPADHYAY,BJP,Bharatiya Janata Party,90233,45.84,SUBASISH BATABYAL,AITC,All India Trinamool Congress,83069,42.20,7164,3.64,196836,3514,81.25,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
249,Ranibandh,South 24 Parganas,assembly_2021,ST,Jyotsna Mandi,AITC,All India Trinamool Congress,90928,43.06,Kshudiram Tudu,BJP,Bharatiya Janata Party,86989,41.19,3939,1.87,211170,4226,83.35,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
250,Raipur,South 24 Parganas,assembly_2021,ST,MRITYUNJOY MURMU,AITC,All India Trinamool Congress,101043,51.96,SUDHANSHU HANSDA,BJP,Bharatiya Janata Party,81645,41.98,19398,9.97,194476,2986,86.59,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
251,Taldangra,South 24 Parganas,assembly_2021,GEN,ARUP CHAKRABORTY,AITC,All India Trinamool Congress,92026,45.29,SHYAMAL KUMAR SARKAR (BENU),BJP,Bharatiya Janata Party,79649,39.20,12377,6.09,203186,3518,87.10,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
252,Bankura,South 24 Parganas,assembly_2021,GEN,NILADRI SEKHAR DANA,BJP,Bharatiya Janata Party,95466,43.79,SAYANTIKA BANERJEE,AITC,All India Trinamool Congress,93998,43.12,1468,0.67,217986,4507,80.79,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
253,Barjora,South 24 Parganas,assembly_2021,GEN,ALOK MUKHERJEE,AITC,All India Trinamool Congress,93290,42.51,SUPRITI CHATTERJEE,BJP,Bharatiya Janata Party,90021,41.02,3269,1.49,219452,4903,87.53,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
254,Onda,South 24 Parganas,assembly_2021,GEN,AMARNATH SHAKHA,BJP,Bharatiya Janata Party,104940,46.48,ARUP KUMAR KHAN,AITC,All India Trinamool Congress,93389,41.37,11551,5.12,225759,4879,87.88,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
255,Bishnupur,South 24 Parganas,assembly_2021,GEN,TANMAY GHOSH (BUMBA),BJP,Bharatiya Janata Party,89689,46.84,ARCHITA BID,AITC,All India Trinamool Congress,78269,40.88,11420,5.96,191469,3419,87.32,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
256,Katulpur,South 24 Parganas,assembly_2021,SC,HARAKALI PROTIHER,BJP,Bharatiya Janata Party,106022,47.31,SANGEETA MALIK,AITC,All India Trinamool Congress,94237,42.05,11785,5.26,224123,1856,90.82,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
257,Indus,South 24 Parganas,assembly_2021,SC,NIRMAL KUMAR DHARA,BJP,Bharatiya Janata Party,104936,48.04,RUNU METE,AITC,All India Trinamool Congress,97716,44.73,7220,3.31,218453,3182,89.92,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
258,Sonamukhi,South 24 Parganas,assembly_2021,SC,DIBAKAR GHARAMI,BJP,Bharatiya Janata Party,98161,47.25,DR. SHYAMAL SANTRA,AITC,All India Trinamool Congress,87273,42.01,10888,5.24,207739,2076,89.14,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
259,Khandaghosh,South 24 Parganas,assembly_2021,SC,NABIN CHANDRA BAG,AITC,All India Trinamool Congress,104264,47.85,BIJAN MANDAL,BJP,Bharatiya Janata Party,83378,38.26,20886,9.59,217897,1944,89.77,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
260,Bardhaman Dakshin,South 24 Parganas,assembly_2021,GEN,KHOKAN DAS,AITC,All India Trinamool Congress,91015,44.32,SANDIP NANDI,BJP,Bharatiya Janata Party,82910,40.38,8105,3.95,205345,3707,79.61,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
261,Raina,South 24 Parganas,assembly_2021,SC,Shampa Dhara,AITC,All India Trinamool Congress,108752,47.46,Manik Roy,BJP,Bharatiya Janata Party,90547,39.51,18205,7.94,229166,1563,88.57,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
262,Jamalpur,South 24 Parganas,assembly_2021,SC,ALOK KUMAR MAJHI,AITC,All India Trinamool Congress,96999,46.93,BALARAM BAPARI,BJP,Bharatiya Janata Party,79028,38.24,17971,8.69,206690,2865,87.59,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
263,Monteswar,South 24 Parganas,assembly_2021,GEN,CHOWDHURY SIDDIQULLAH,AITC,All India Trinamool Congress,105460,50.45,SAIKAT PANJA,BJP,Bharatiya Janata Party,73655,35.24,31805,15.22,209036,1611,86.30,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
264,Kalna,South 24 Parganas,assembly_2021,SC,DEBOPRASAD BAG (POLTU),AITC,All India Trinamool Congress,96073,45.98,BISWAJIT KUNDU,BJP,Bharatiya Janata Party,88595,42.40,7478,3.58,208951,2507,86.53,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
265,Memari,South 24 Parganas,assembly_2021,GEN,MADHUSUDAN BHATTACHARYA,AITC,All India Trinamool Congress,104851,47.92,BHISMADEB BHATTACHARYA,BJP,Bharatiya Janata Party,81773,37.37,23078,10.55,218802,1673,86.06,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
266,Bardhaman Uttar,South 24 Parganas,assembly_2021,SC,NISITH KUMAR MALIK,AITC,All India Trinamool Congress,111211,45.97,RADHA KANTA ROY,BJP,Bharatiya Janata Party,93943,38.83,17268,7.14,241925,2396,87.33,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
267,Bhatar,South 24 Parganas,assembly_2021,GEN,ADHIKARI MANGOBINDA,AITC,All India Trinamool Congress,108028,50.44,MAHENDRANATH KOWAR,BJP,Bharatiya Janata Party,76287,35.62,31741,14.82,214168,4346,86.82,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
268,Purbasthali Dakshin,South 24 Parganas,assembly_2021,GEN,SWAPAN DEBNATH,AITC,All India Trinamool Congress,105698,49.08,RAJIB KUMAR BHOWMICK,BJP,Bharatiya Janata Party,88288,41.00,17410,8.08,215353,1562,86.65,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
269,Purbasthali Uttar,South 24 Parganas,assembly_2021,GEN,TAPAN CHATTERJEE,AITC,All India Trinamool Congress,92421,43.52,GOBARDHAN DAS,BJP,Bharatiya Janata Party,85715,40.37,6706,3.16,212343,1350,84.05,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
270,Katwa,South 24 Parganas,assembly_2021,GEN,Rabindranath Chatterjee,AITC,All India Trinamool Congress,107894,48.07,Shyama Majumdar,BJP,Bharatiya Janata Party,98739,43.99,9155,4.08,224459,1780,83.84,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
271,Ketugram,South 24 Parganas,assembly_2021,GEN,Sekh Sahonawez,AITC,All India Trinamool Congress,100226,46.55,Anadi Ghosh (Mathura),BJP,Bharatiya Janata Party,87543,40.66,12683,5.89,215317,3620,83.36,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
272,Mangalkot,South 24 Parganas,assembly_2021,GEN,Apurba Chowdhury (Achal),AITC,All India Trinamool Congress,107596,49.51,Rana Protap Goswami,BJP,Bharatiya Janata Party,85259,39.23,22337,10.28,217329,3826,86.58,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
273,Ausgram,South 24 Parganas,assembly_2021,SC,ABHEDANANDA THANDER,AITC,All India Trinamool Congress,100392,46.25,KALITA MAJI,BJP,Bharatiya Janata Party,88577,40.80,11815,5.44,217080,4039,87.90,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
274,Galsi,South 24 Parganas,assembly_2021,SC,NEPAL GHORUI,AITC,All India Trinamool Congress,109504,49.21,BIKASH BISWAS,BJP,Bharatiya Janata Party,90242,40.55,19262,8.66,222538,2254,86.71,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
275,Pandabeswar,South 24 Parganas,assembly_2021,GEN,NARENDRANATH CHAKRABORTY,AITC,All India Trinamool Congress,73922,44.99,KUMAR JITENDRA TEWARI,BJP,Bharatiya Janata Party,70119,42.68,3803,2.31,164291,2735,77.51,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
276,Durgapur Purba,South 24 Parganas,assembly_2021,GEN,PRADIP MAZUMDAR,AITC,All India Trinamool Congress,79303,41.16,COLONEL DIPTANSU CHAUDHURY,BJP,Bharatiya Janata Party,75557,39.21,3746,1.94,192674,2628,75.11,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
277,Durgapur Paschim,South 24 Parganas,assembly_2021,GEN,LAKSHMAN CHANDRA GHORUI,BJP,Bharatiya Janata Party,91186,46.31,BISWANATH PARIAL,AITC,All India Trinamool Congress,76522,38.86,14664,7.45,196902,2624,73.12,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
278,Raniganj,South 24 Parganas,assembly_2021,GEN,TAPAS BANERJEE,AITC,All India Trinamool Congress,78164,42.90,DR. BIJAN MUKHERJEE,BJP,Bharatiya Janata Party,74608,40.95,3556,1.95,182211,2006,72.65,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
279,Jamuria,South 24 Parganas,assembly_2021,GEN,HARERAM SINGH,AITC,All India Trinamool Congress,71002,42.59,TAPAS KUMAR ROY,BJP,Bharatiya Janata Party,62951,37.76,8051,4.83,166703,2353,75.29,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
280,Asansol Dakshin,South 24 Parganas,assembly_2021,GEN,AGNIMITRA PAUL,BJP,Bharatiya Janata Party,87881,45.13,SAYANI GHOSH,AITC,All India Trinamool Congress,83394,42.82,4487,2.30,194737,3466,71.01,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
281,Asansol Uttar,South 24 Parganas,assembly_2021,GEN,Ghatak Moloy,AITC,All India Trinamool Congress,100931,52.32,Krishnendu Mukherjee,BJP,Bharatiya Janata Party,79821,41.38,21110,10.94,192907,3348,69.95,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
282,Kulti,South 24 Parganas,assembly_2021,GEN,AJAY KUMAR PODDAR,BJP,Bharatiya Janata Party,81112,46.41,UJJAL CHATTERJEE,AITC,All India Trinamool Congress,80433,46.02,679,0.39,174767,3553,69.44,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
283,Barabani,South 24 Parganas,assembly_2021,GEN,BIDHAN UPADHYAY,AITC,All India Trinamool Congress,88430,52.26,ARIJIT ROY,BJP,Bharatiya Janata Party,64973,38.40,23457,13.86,169207,3039,75.00,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
284,Dubrajpur,South 24 Parganas,assembly_2021,SC,Anup Kumar Saha,BJP,Bharatiya Janata Party,98083,47.94,Debabrata Saha,AITC,All India Trinamool Congress,94220,46.05,3863,1.89,204599,3157,84.64,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
285,Suri,South 24 Parganas,assembly_2021,GEN,BIKASH ROYCHOUDHURY,AITC,All India Trinamool Congress,105871,48.43,CHATTOPADHYAY JAGANNATH,BJP,Bharatiya Janata Party,98551,45.08,7320,3.35,218590,1835,82.94,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
286,Bolpur,South 24 Parganas,assembly_2021,GEN,SINHA CHANDRANATH,AITC,All India Trinamool Congress,116443,50.57,ANIRBAN GANGULY,BJP,Bharatiya Janata Party,94163,40.89,22280,9.68,230260,3337,84.07,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
287,Nanoor,South 24 Parganas,assembly_2021,SC,BIDHAN CHANDRA MAJHI,AITC,All India Trinamool Congress,112116,47.64,TARAKESWAR SAHA,BJP,Bharatiya Janata Party,105446,44.81,6670,2.83,235328,2149,85.02,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
288,Labpur,South 24 Parganas,assembly_2021,GEN,ABHIJIT SINHA (RANA),AITC,All India Trinamool Congress,108423,51.14,BISWAJIT MONDAL,BJP,Bharatiya Janata Party,90448,42.66,17975,8.48,212027,3057,88.33,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
289,Sainthia,South 24 Parganas,assembly_2021,SC,NILABATI SAHA,AITC,All India Trinamool Congress,110572,49.84,PIYA SAHA,BJP,Bharatiya Janata Party,95329,42.97,15243,6.87,221866,1742,86.68,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
290,Mayureswar,South 24 Parganas,assembly_2021,GEN,ABHIJIT ROY,AITC,All India Trinamool Congress,100425,50.36,Shyamapada Mondal,BJP,Bharatiya Janata Party,88350,44.30,12075,6.05,199425,2803,86.45,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
291,Rampurhat,South 24 Parganas,assembly_2021,GEN,ASISH BANERJEE,AITC,All India Trinamool Congress,103276,47.52,SUBHASIS CHOUDHURY (KHOKAN),BJP,Bharatiya Janata Party,94804,43.62,8472,3.90,217323,3381,83.33,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
292,Hansan,South 24 Parganas,assembly_2021,GEN,Dr. ASOK KUMAR CHATTOPADHYAY,AITC,All India Trinamool Congress,108289,51.42,NIKHIL BANERJEE,BJP,Bharatiya Janata Party,57676,27.39,50613,24.03,210606,2420,84.88,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
293,Nalhati,South 24 Parganas,assembly_2021,GEN,RAJENDRA PRASAD SINGH (RAJU SINGH),AITC,All India Trinamool Congress,117438,56.54,TAPAS KUMAR YADAV(ANANDA YADAV),BJP,Bharatiya Janata Party,60533,29.15,56905,27.40,207696,1900,84.83,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
294,Murarai,South 24 Parganas,assembly_2021,GEN,DR MOSARRAF HOSSAIN,AITC,All India Trinamool Congress,146496,67.23,DEBASISH ROY,BJP,Bharatiya Janata Party,48250,22.14,98246,45.08,217917,1509,82.80,Election Commission of India,https://results.eci.gov.in,official,Sun May 02 2021 05:30:00 GMT+0530 (India Standard Time),
